Opening serial port 'COM25'
Connection opened.
-I- === Initialize eMMC access ===
Detected memory size is 3925868544 bytes.
Page size is 512 bytes.
Buffer is 88576 bytes (173 pages) at address 0x0022a440.
-I- === Load images on eMMC ===
Wrote 88576 bytes at address 0x01078e00 (1.62%)
Wrote 88576 bytes at address 0x0108e800 (1.63%)
Wrote 88576 bytes at address 0x010a4200 (1.63%)
Wrote 88576 bytes at address 0x010b9c00 (1.64%)
Wrote 88576 bytes at address 0x010cf600 (1.65%)
Wrote 88576 bytes at address 0x010e5000 (1.66%)
Wrote 88576 bytes at address 0x010faa00 (1.67%)
Wrote 88576 bytes at address 0x01110400 (1.67%)
Wrote 88576 bytes at address 0x01125e00 (1.68%)
Wrote 88576 bytes at address 0x0113b800 (1.69%)
Wrote 88576 bytes at address 0x01151200 (1.70%)
Wrote 88576 bytes at address 0x01166c00 (1.71%)
Wrote 88576 bytes at address 0x0117c600 (1.72%)
Wrote 88576 bytes at address 0x01192000 (1.72%)
Wrote 88576 bytes at address 0x011a7a00 (1.73%)
Wrote 88576 bytes at address 0x011bd400 (1.74%)
Wrote 88576 bytes at address 0x011d2e00 (1.75%)
Wrote 88576 bytes at address 0x011e8800 (1.76%)
Wrote 88576 bytes at address 0x011fe200 (1.77%)
Wrote 88576 bytes at address 0x01213c00 (1.77%)
Wrote 88576 bytes at address 0x01229600 (1.78%)
Wrote 88576 bytes at address 0x0123f000 (1.79%)
Wrote 88576 bytes at address 0x01254a00 (1.80%)
Wrote 88576 bytes at address 0x0126a400 (1.81%)
Wrote 88576 bytes at address 0x0127fe00 (1.81%)
Wrote 88576 bytes at address 0x01295800 (1.82%)
Wrote 88576 bytes at address 0x012ab200 (1.83%)
Wrote 88576 bytes at address 0x012c0c00 (1.84%)
Wrote 88576 bytes at address 0x012d6600 (1.85%)
Wrote 88576 bytes at address 0x012ec000 (1.86%)
Wrote 88576 bytes at address 0x01301a00 (1.86%)
Wrote 88576 bytes at address 0x01317400 (1.87%)
Wrote 88576 bytes at address 0x0132ce00 (1.88%)
Wrote 88576 bytes at address 0x01342800 (1.89%)
Wrote 88576 bytes at address 0x01358200 (1.90%)
Wrote 88576 bytes at address 0x0136dc00 (1.91%)
Wrote 88576 bytes at address 0x01383600 (1.91%)
